33606,11589,1594
30771,11360,1171
33616,10679,655
33617,11402,1596
25602,10682,473
25603,10955,1220
25604,10275,None
25605,10323,None
25606,10324,None
33626,11734,1595
25608,10282,210
25609,10283,None
25610,10968,None
25611,10198,None
25612,10199,197
33635,11892,1597
25617,10213,223
25618,10900,1382
25619,10901,1444
25622,10112,None
25625,10677,None
25626,10913,1416
25627,10228,18
25630,10243,16
25631,10128,602
25632,10815,None
25633,10129,None
25634,10149,None
25635,10150,None
25638,10169,None
25639,10854,1425
25640,10180,152
25642,10182,491
25643,10162,373
25645,10202,389
25647,10203,545
25648,10217,87
25649,10218,None
25650,10219,184
25651,10220,146
25652,10221,337
25653,10222,227
26382,10448,None
25654,10229,None
25655,10231,304
25656,10170,446
25657,10171,180
25658,10857,1388
25659,10858,1465
25660,10183,483
25662,10185,165
25663,10082,None
25664,10083,None
25665,10084,207
25666,10071,None
25667,10072,None
25668,10074,615
25669,10089,514
36523,11963,1590
25670,10258,59
25671,10332,None
25673,10245,None
25675,10249,None
25676,10259,533
25677,10260,150
25678,10261,None
25679,10333,None
25680,10334,634
25681,10335,None
25682,10095,288
25683,10096,566
25684,10097,None
25685,10113,None
25686,10115,366
25687,10116,583
25688,10105,None
25690,10153,596
25691,10131,420
25692,10133,185
25693,10134,None
25694,10155,188
25696,10842,1398
25697,10172,650
25698,10173,586
25699,10174,570
24987,10046,None
24991,10785,1442
35863,11427,1486
35871,11450,1490
35874,11464,None
27859,11812,1563
39440,11455,1491
35889,11558,1501
35894,11531,1506
35896,11542,None
35897,11559,1516
62790,14128,1605
40273,11511,1503
40274,11814,1564
31572,11420,1483
31573,11473,None
31575,11768,1554
31582,11773,1556
31584,11817,1566
31593,11715,1544
31594,11946,1576
31595,11389,1480
25700,10176,189
25701,10186,484
25702,10204,None
25703,10005,306
25704,10006,None
25705,10661,632
25707,10118,None
25708,10119,249
25710,10713,1389
25712,10013,56
25713,10014,None
25716,10034,513
27175,10775,None
25717,10188,None
25718,10189,None
25719,10190,474
25720,10043,None
25722,10045,394
25723,10055,None
25724,10056,None
25725,10062,435
25726,10063,151
25728,10018,None
25729,10715,1390
25730,10716,None
25731,10027,392
25732,10028,None
25733,10036,501
25734,10726,1441
25735,10669,413
25738,10048,456
25739,10057,117
25742,10065,77
25743,10066,None
25744,10069,523
25745,10761,1446
25746,10085,None
25747,10075,199
25748,10076,301
25749,10077,None
34498,13736,1601
25752,10777,1467
25753,10080,204
25754,10790,None
25755,10120,553
25756,10098,None
25758,10121,360
25759,10122,458
25760,10123,None
25763,10137,None
25767,10157,611
25769,10175,336
48204,13712,None
25773,10160,None
25774,10008,364
25775,10009,44
25776,10010,None
25777,10753,1400
25778,10754,1431
25779,10068,591
25781,10020,None
25782,10021,None
25783,10707,1451
25786,10086,529
25787,10766,1427
25788,10079,46
35910,11592,1521
35914,11605,1524
35915,11607,1525
25790,10001,172
25791,10002,None
25794,10780,1409
25795,10088,627
25796,11346,None
25797,10100,None
25799,10103,242
35925,11656,1536
35928,11647,1533
35932,11675,None
35958,11534,1507
35971,11766,None
35994,11866,None
25001,10852,None
25019,10571,None
38863,11974,1515
31605,11823,1567
31629,11513,1504
38890,12005,1589
38898,11667,1538
31646,11437,1487
31647,11633,1529
31648,11573,1518
31661,11971,1513
31669,11771,1555
27225,10278,None
31683,11661,1537
31684,11475,1496
31685,11621,1527
31686,11785,1559
31687,11588,1520
31689,11784,None
31691,11915,1581
31694,11506,1502
31699,11443,1488
25800,10683,320
25801,10709,None
25802,10022,28
25803,10029,385
25805,10031,328
25807,10039,479
25808,10040,17
25809,10049,None
72302,24691,1609
25810,10050,395
25811,10051,104
25823,10545,95
25824,10633,156
40443,11644,None
31700,11541,1508
31703,11927,1585
31706,11408,1198
31707,11406,1482
31711,11924,1584
31714,11759,1551
25153,10004,None
31715,11917,1582
25154,10012,None
31716,11923,1591
25155,10023,93
25156,10141,437
25157,10032,572
31718,11641,1531
25158,10041,103
25160,10061,230
25161,10070,588
31722,11651,1534
31723,11489,1498
25162,10770,1201
25164,10106,67
36019,11898,1579
25166,10144,None
25168,10177,None
31729,11660,1191
25169,10194,88
25170,10208,214
25171,10223,None
25172,10920,1413
25173,10252,567
31734,11626,1528
25174,10263,43
25175,10958,1437
31736,11458,1492
25176,10285,582
25177,10294,None
25178,10304,None
40488,11884,1578
25180,10328,None
25181,10338,None
36036,11943,1588
25182,10348,36
25183,10352,345
25184,10362,68
25185,10377,298
25186,10390,None
25187,10402,12
25188,11095,None
25190,11115,1211
25191,10444,None
25192,10453,595
25193,10670,427
25194,11145,1458
25195,10472,None
25197,11347,1476
25198,11174,1454
25199,10660,209
34603,11362,1478
46207,12834,None
35356,11599,1522
35360,11603,1523
35363,11610,1526
35372,11640,1530
35379,11668,1539
35388,11696,1542
35394,11727,1547
37590,11692,1541
25200,10501,None
25201,10506,307
25203,10522,None
25205,10537,295
25206,10542,126
25207,10548,None
25208,10555,116
25209,11245,None
25211,10575,234
25212,11265,1408
25213,10587,None
25215,10600,None
25218,10621,None
25219,11312,1384
25220,10634,None
25221,11323,1397
25222,10646,None
25223,10652,None
25224,10658,136
25225,10659,57
25226,11345,None
25227,11350,1170
25228,11309,1463
25229,10625,489
74691,14142,1608
25230,10626,220
25231,10613,112
25232,10614,338
25233,10615,None
25234,10623,None
25235,10624,None
25236,11308,1462
25238,10630,62
25239,10632,39
25241,10637,53
25242,10639,None
25243,10640,None
25244,11318,1428
25246,10643,None
25248,10645,316
25249,11324,1394
25250,10641,None
25251,10642,None
25252,10647,None
25253,10648,390
25254,11333,1440
25255,10650,401
25256,10651,98
25257,10579,403
25258,10580,55
25259,10576,449
25260,10577,296
25261,10578,445
25262,10582,245
25263,11267,1383
25264,10583,348
25266,10585,None
25268,10656,None
25269,11340,1461
25270,10657,None
25273,10594,177
25275,10590,None
25276,11275,None
25277,11280,1399
25278,10596,163
25279,10597,None
35405,11742,1550
25280,10598,None
25284,10655,None
25286,10606,None
25287,11291,1426
25288,10602,335
25290,10604,410
25291,10608,None
25292,10672,None
25293,10610,429
25296,10533,None
25297,10534,411
36154,11522,None
35436,11791,1560
35440,11816,1565
61606,13934,1604
61609,13933,1603
35446,11859,1572
54327,13735,None
35461,11798,1568
